Layer 9, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 2.9861

Expert 4: EMA=0.05%  Hits=9165
Expert 7: EMA=0.05%  Hits=9164
Expert 6: EMA=0.05%  Hits=9163
Expert 0: EMA=0.05%  Hits=9161
Expert 3: EMA=0.05%  Hits=9161
Expert 1: EMA=0.05%  Hits=9160
Expert 2: EMA=0.05%  Hits=9160
Expert 5: EMA=0.05%  Hits=9160
Expert 114: EMA=0.00%  Hits=23
Expert 91: EMA=0.00%  Hits=22
Expert 105: EMA=0.00%  Hits=22
Expert 100: EMA=0.00%  Hits=21
Expert 82: EMA=0.00%  Hits=20
Expert 49: EMA=0.00%  Hits=20
Expert 31: EMA=0.00%  Hits=15
Expert 8: EMA=0.00%  Hits=13
Expert 104: EMA=0.00%  Hits=10
Expert 47: EMA=0.00%  Hits=8
Expert 109: EMA=0.00%  Hits=8
Expert 92: EMA=0.00%  Hits=7
Expert 78: EMA=0.00%  Hits=7
Expert 69: EMA=0.00%  Hits=5
Expert 84: EMA=0.00%  Hits=5
Expert 125: EMA=0.00%  Hits=5
Expert 70: EMA=0.00%  Hits=5
Expert 38: EMA=0.00%  Hits=4
Expert 39: EMA=0.00%  Hits=4
Expert 107: EMA=0.00%  Hits=4
Expert 115: EMA=0.00%  Hits=4
Expert 24: EMA=0.00%  Hits=3
Expert 26: EMA=0.00%  Hits=3
Expert 32: EMA=0.00%  Hits=3
Expert 41: EMA=0.00%  Hits=3
Expert 44: EMA=0.00%  Hits=3
Expert 51: EMA=0.00%  Hits=3
Expert 112: EMA=0.00%  Hits=3
Expert 21: EMA=0.00%  Hits=2
Expert 40: EMA=0.00%  Hits=2
Expert 53: EMA=0.00%  Hits=2
Expert 68: EMA=0.00%  Hits=2
Expert 72: EMA=0.00%  Hits=2
Expert 95: EMA=0.00%  Hits=2
Expert 118: EMA=0.00%  Hits=2
Expert 121: EMA=0.00%  Hits=2
Expert 16: EMA=0.00%  Hits=2
Expert 9: EMA=0.00%  Hits=1
Expert 10: EMA=0.00%  Hits=1
Expert 11: EMA=0.00%  Hits=1
Expert 12: EMA=0.00%  Hits=1
Expert 13: EMA=0.00%  Hits=1
Expert 18: EMA=0.00%  Hits=1
Expert 19: EMA=0.00%  Hits=1
Expert 23: EMA=0.00%  Hits=1
Expert 28: EMA=0.00%  Hits=1
Expert 33: EMA=0.00%  Hits=1
Expert 34: EMA=0.00%  Hits=1
Expert 42: EMA=0.00%  Hits=1
Expert 52: EMA=0.00%  Hits=1
Expert 55: EMA=0.00%  Hits=1
Expert 57: EMA=0.00%  Hits=1
Expert 59: EMA=0.00%  Hits=1
Expert 60: EMA=0.00%  Hits=1
Expert 61: EMA=0.00%  Hits=1
Expert 63: EMA=0.00%  Hits=1
Expert 65: EMA=0.00%  Hits=1
Expert 67: EMA=0.00%  Hits=1
Expert 75: EMA=0.00%  Hits=1
Expert 76: EMA=0.00%  Hits=1
Expert 77: EMA=0.00%  Hits=1
Expert 80: EMA=0.00%  Hits=1
Expert 83: EMA=0.00%  Hits=1
Expert 85: EMA=0.00%  Hits=1
Expert 87: EMA=0.00%  Hits=1
Expert 88: EMA=0.00%  Hits=1
Expert 96: EMA=0.00%  Hits=1
Expert 102: EMA=0.00%  Hits=1
Expert 106: EMA=0.00%  Hits=1
Expert 111: EMA=0.00%  Hits=1
Expert 122: EMA=0.00%  Hits=1
Expert 124: EMA=0.00%  Hits=1
