Layer 26, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 2.6570

Expert 4: EMA=0.05%  Hits=9165
Expert 3: EMA=0.05%  Hits=9164
Expert 5: EMA=0.05%  Hits=9164
Expert 1: EMA=0.05%  Hits=9163
Expert 0: EMA=0.05%  Hits=9162
Expert 2: EMA=0.05%  Hits=9162
Expert 6: EMA=0.05%  Hits=9162
Expert 7: EMA=0.05%  Hits=9162
Expert 47: EMA=0.00%  Hits=27
Expert 42: EMA=0.00%  Hits=26
Expert 102: EMA=0.00%  Hits=23
Expert 22: EMA=0.00%  Hits=22
Expert 92: EMA=0.00%  Hits=20
Expert 101: EMA=0.00%  Hits=19
Expert 26: EMA=0.00%  Hits=18
Expert 9: EMA=0.00%  Hits=12
Expert 80: EMA=0.00%  Hits=9
Expert 14: EMA=0.00%  Hits=8
Expert 84: EMA=0.00%  Hits=8
Expert 33: EMA=0.00%  Hits=8
Expert 82: EMA=0.00%  Hits=8
Expert 74: EMA=0.00%  Hits=7
Expert 86: EMA=0.00%  Hits=7
Expert 105: EMA=0.00%  Hits=5
Expert 62: EMA=0.00%  Hits=4
Expert 38: EMA=0.00%  Hits=3
Expert 66: EMA=0.00%  Hits=3
Expert 73: EMA=0.00%  Hits=3
Expert 85: EMA=0.00%  Hits=3
Expert 89: EMA=0.00%  Hits=3
Expert 94: EMA=0.00%  Hits=3
Expert 115: EMA=0.00%  Hits=3
Expert 20: EMA=0.00%  Hits=3
Expert 19: EMA=0.00%  Hits=2
Expert 32: EMA=0.00%  Hits=2
Expert 55: EMA=0.00%  Hits=2
Expert 64: EMA=0.00%  Hits=2
Expert 97: EMA=0.00%  Hits=2
Expert 98: EMA=0.00%  Hits=2
Expert 114: EMA=0.00%  Hits=2
Expert 121: EMA=0.00%  Hits=2
Expert 125: EMA=0.00%  Hits=2
Expert 10: EMA=0.00%  Hits=1
Expert 15: EMA=0.00%  Hits=1
Expert 16: EMA=0.00%  Hits=1
Expert 17: EMA=0.00%  Hits=1
Expert 18: EMA=0.00%  Hits=1
Expert 21: EMA=0.00%  Hits=1
Expert 29: EMA=0.00%  Hits=1
Expert 30: EMA=0.00%  Hits=1
Expert 36: EMA=0.00%  Hits=1
Expert 37: EMA=0.00%  Hits=1
Expert 49: EMA=0.00%  Hits=1
Expert 60: EMA=0.00%  Hits=1
Expert 63: EMA=0.00%  Hits=1
Expert 69: EMA=0.00%  Hits=1
Expert 79: EMA=0.00%  Hits=1
Expert 83: EMA=0.00%  Hits=1
Expert 93: EMA=0.00%  Hits=1
Expert 100: EMA=0.00%  Hits=1
Expert 104: EMA=0.00%  Hits=1
Expert 110: EMA=0.00%  Hits=1
Expert 113: EMA=0.00%  Hits=1
Expert 117: EMA=0.00%  Hits=1
Expert 40: EMA=0.00%  Hits=1
