Layer 12, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 3.0475

Expert 3: EMA=0.05%  Hits=9164
Expert 2: EMA=0.05%  Hits=9162
Expert 0: EMA=0.05%  Hits=9161
Expert 5: EMA=0.05%  Hits=9161
Expert 1: EMA=0.05%  Hits=9160
Expert 4: EMA=0.05%  Hits=9160
Expert 6: EMA=0.05%  Hits=9160
Expert 7: EMA=0.05%  Hits=9160
Expert 20: EMA=0.00%  Hits=23
Expert 39: EMA=0.00%  Hits=23
Expert 50: EMA=0.00%  Hits=22
Expert 106: EMA=0.00%  Hits=22
Expert 33: EMA=0.00%  Hits=22
Expert 109: EMA=0.00%  Hits=22
Expert 59: EMA=0.00%  Hits=21
Expert 115: EMA=0.00%  Hits=21
Expert 18: EMA=0.00%  Hits=6
Expert 81: EMA=0.00%  Hits=5
Expert 98: EMA=0.00%  Hits=5
Expert 12: EMA=0.00%  Hits=4
Expert 30: EMA=0.00%  Hits=4
Expert 57: EMA=0.00%  Hits=4
Expert 82: EMA=0.00%  Hits=4
Expert 116: EMA=0.00%  Hits=4
Expert 122: EMA=0.00%  Hits=4
Expert 25: EMA=0.00%  Hits=3
Expert 51: EMA=0.00%  Hits=3
Expert 63: EMA=0.00%  Hits=3
Expert 68: EMA=0.00%  Hits=3
Expert 85: EMA=0.00%  Hits=3
Expert 93: EMA=0.00%  Hits=3
Expert 100: EMA=0.00%  Hits=3
Expert 113: EMA=0.00%  Hits=3
Expert 56: EMA=0.00%  Hits=3
Expert 9: EMA=0.00%  Hits=2
Expert 10: EMA=0.00%  Hits=2
Expert 26: EMA=0.00%  Hits=2
Expert 32: EMA=0.00%  Hits=2
Expert 48: EMA=0.00%  Hits=2
Expert 60: EMA=0.00%  Hits=2
Expert 65: EMA=0.00%  Hits=2
Expert 70: EMA=0.00%  Hits=2
Expert 72: EMA=0.00%  Hits=2
Expert 73: EMA=0.00%  Hits=2
Expert 76: EMA=0.00%  Hits=2
Expert 80: EMA=0.00%  Hits=2
Expert 84: EMA=0.00%  Hits=2
Expert 86: EMA=0.00%  Hits=2
Expert 88: EMA=0.00%  Hits=2
Expert 89: EMA=0.00%  Hits=2
Expert 103: EMA=0.00%  Hits=2
Expert 108: EMA=0.00%  Hits=2
Expert 121: EMA=0.00%  Hits=2
Expert 92: EMA=0.00%  Hits=2
Expert 11: EMA=0.00%  Hits=1
Expert 16: EMA=0.00%  Hits=1
Expert 21: EMA=0.00%  Hits=1
Expert 23: EMA=0.00%  Hits=1
Expert 24: EMA=0.00%  Hits=1
Expert 28: EMA=0.00%  Hits=1
Expert 34: EMA=0.00%  Hits=1
Expert 36: EMA=0.00%  Hits=1
Expert 37: EMA=0.00%  Hits=1
Expert 47: EMA=0.00%  Hits=1
Expert 49: EMA=0.00%  Hits=1
Expert 52: EMA=0.00%  Hits=1
Expert 53: EMA=0.00%  Hits=1
Expert 58: EMA=0.00%  Hits=1
Expert 62: EMA=0.00%  Hits=1
Expert 64: EMA=0.00%  Hits=1
Expert 78: EMA=0.00%  Hits=1
Expert 90: EMA=0.00%  Hits=1
Expert 91: EMA=0.00%  Hits=1
Expert 94: EMA=0.00%  Hits=1
Expert 96: EMA=0.00%  Hits=1
Expert 101: EMA=0.00%  Hits=1
Expert 105: EMA=0.00%  Hits=1
Expert 110: EMA=0.00%  Hits=1
Expert 111: EMA=0.00%  Hits=1
Expert 112: EMA=0.00%  Hits=1
Expert 114: EMA=0.00%  Hits=1
Expert 119: EMA=0.00%  Hits=1
Expert 125: EMA=0.00%  Hits=1
