Layer 4, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): 6.1544 bits
Top-k Confidence (avg): 0.125000
Load-Balance CV: 1.1009

Expert 52: EMA=0.02%  Hits=2958
Expert 73: EMA=0.02%  Hits=2837
Expert 104: EMA=0.02%  Hits=3035
Expert 48: EMA=0.02%  Hits=2699
Expert 81: EMA=0.02%  Hits=2532
Expert 11: EMA=0.01%  Hits=2233
Expert 126: EMA=0.01%  Hits=1686
Expert 86: EMA=0.01%  Hits=1950
Expert 105: EMA=0.01%  Hits=1770
Expert 115: EMA=0.01%  Hits=1459
Expert 63: EMA=0.01%  Hits=1386
Expert 13: EMA=0.01%  Hits=1596
Expert 118: EMA=0.01%  Hits=1240
Expert 85: EMA=0.01%  Hits=1311
Expert 93: EMA=0.01%  Hits=1001
Expert 56: EMA=0.01%  Hits=1041
Expert 60: EMA=0.01%  Hits=1205
Expert 113: EMA=0.01%  Hits=1045
Expert 106: EMA=0.01%  Hits=1121
Expert 76: EMA=0.01%  Hits=1062
Expert 5: EMA=0.01%  Hits=1132
Expert 9: EMA=0.01%  Hits=1072
Expert 27: EMA=0.01%  Hits=1049
Expert 47: EMA=0.01%  Hits=1004
Expert 57: EMA=0.01%  Hits=1080
Expert 37: EMA=0.01%  Hits=842
Expert 32: EMA=0.00%  Hits=993
Expert 77: EMA=0.00%  Hits=894
Expert 75: EMA=0.00%  Hits=735
Expert 34: EMA=0.00%  Hits=749
Expert 19: EMA=0.00%  Hits=786
Expert 97: EMA=0.00%  Hits=847
Expert 111: EMA=0.00%  Hits=909
Expert 70: EMA=0.00%  Hits=895
Expert 101: EMA=0.00%  Hits=957
Expert 10: EMA=0.00%  Hits=917
Expert 109: EMA=0.00%  Hits=922
Expert 96: EMA=0.00%  Hits=755
Expert 91: EMA=0.00%  Hits=816
Expert 39: EMA=0.00%  Hits=816
Expert 38: EMA=0.00%  Hits=718
Expert 23: EMA=0.00%  Hits=694
Expert 51: EMA=0.00%  Hits=766
Expert 46: EMA=0.00%  Hits=773
Expert 102: EMA=0.00%  Hits=743
Expert 122: EMA=0.00%  Hits=723
Expert 7: EMA=0.00%  Hits=548
Expert 22: EMA=0.00%  Hits=650
Expert 121: EMA=0.00%  Hits=520
Expert 87: EMA=0.00%  Hits=632
Expert 20: EMA=0.00%  Hits=549
Expert 119: EMA=0.00%  Hits=480
Expert 79: EMA=0.00%  Hits=724
Expert 16: EMA=0.00%  Hits=447
Expert 2: EMA=0.00%  Hits=434
Expert 69: EMA=0.00%  Hits=416
Expert 108: EMA=0.00%  Hits=406
Expert 71: EMA=0.00%  Hits=398
Expert 116: EMA=0.00%  Hits=490
Expert 26: EMA=0.00%  Hits=389
Expert 6: EMA=0.00%  Hits=489
Expert 92: EMA=0.00%  Hits=370
Expert 74: EMA=0.00%  Hits=445
Expert 4: EMA=0.00%  Hits=481
Expert 40: EMA=0.00%  Hits=436
Expert 50: EMA=0.00%  Hits=381
Expert 29: EMA=0.00%  Hits=387
Expert 53: EMA=0.00%  Hits=335
Expert 98: EMA=0.00%  Hits=287
Expert 18: EMA=0.00%  Hits=331
Expert 0: EMA=0.00%  Hits=297
Expert 1: EMA=0.00%  Hits=280
Expert 123: EMA=0.00%  Hits=157
Expert 99: EMA=0.00%  Hits=186
Expert 59: EMA=0.00%  Hits=177
Expert 30: EMA=0.00%  Hits=203
Expert 114: EMA=0.00%  Hits=176
Expert 44: EMA=0.00%  Hits=232
Expert 36: EMA=0.00%  Hits=168
Expert 64: EMA=0.00%  Hits=172
Expert 107: EMA=0.00%  Hits=154
Expert 17: EMA=0.00%  Hits=95
Expert 67: EMA=0.00%  Hits=163
Expert 43: EMA=0.00%  Hits=137
Expert 25: EMA=0.00%  Hits=150
Expert 100: EMA=0.00%  Hits=134
Expert 103: EMA=0.00%  Hits=148
Expert 88: EMA=0.00%  Hits=132
Expert 65: EMA=0.00%  Hits=134
Expert 14: EMA=0.00%  Hits=103
Expert 110: EMA=0.00%  Hits=100
Expert 89: EMA=0.00%  Hits=92
Expert 83: EMA=0.00%  Hits=148
Expert 78: EMA=0.00%  Hits=75
Expert 15: EMA=0.00%  Hits=83
Expert 82: EMA=0.00%  Hits=81
Expert 54: EMA=0.00%  Hits=74
Expert 124: EMA=0.00%  Hits=74
Expert 112: EMA=0.00%  Hits=80
Expert 95: EMA=0.00%  Hits=78
Expert 80: EMA=0.00%  Hits=50
Expert 55: EMA=0.00%  Hits=50
Expert 127: EMA=0.00%  Hits=49
Expert 21: EMA=0.00%  Hits=40
Expert 12: EMA=0.00%  Hits=52
Expert 61: EMA=0.00%  Hits=47
Expert 33: EMA=0.00%  Hits=36
Expert 8: EMA=0.00%  Hits=26
Expert 62: EMA=0.00%  Hits=22
Expert 28: EMA=0.00%  Hits=27
Expert 90: EMA=0.00%  Hits=25
Expert 72: EMA=0.00%  Hits=10
Expert 45: EMA=0.00%  Hits=8
Expert 84: EMA=0.00%  Hits=13
Expert 31: EMA=0.00%  Hits=23
Expert 24: EMA=0.00%  Hits=9
Expert 35: EMA=0.00%  Hits=9
Expert 68: EMA=0.00%  Hits=10
Expert 120: EMA=0.00%  Hits=16
Expert 117: EMA=0.00%  Hits=9
Expert 49: EMA=0.00%  Hits=5
Expert 125: EMA=0.00%  Hits=1
Expert 66: EMA=0.00%  Hits=1
