Layer 1, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): 6.3421 bits
Top-k Confidence (avg): 0.125000
Load-Balance CV: 0.9366

Expert 119: EMA=0.02%  Hits=3275
Expert 127: EMA=0.02%  Hits=2575
Expert 70: EMA=0.01%  Hits=2032
Expert 122: EMA=0.01%  Hits=1969
Expert 2: EMA=0.01%  Hits=1848
Expert 121: EMA=0.01%  Hits=1547
Expert 88: EMA=0.01%  Hits=1639
Expert 76: EMA=0.01%  Hits=1475
Expert 9: EMA=0.01%  Hits=1474
Expert 90: EMA=0.01%  Hits=1480
Expert 45: EMA=0.01%  Hits=1491
Expert 6: EMA=0.01%  Hits=1376
Expert 82: EMA=0.01%  Hits=1182
Expert 125: EMA=0.01%  Hits=1130
Expert 77: EMA=0.01%  Hits=1174
Expert 58: EMA=0.01%  Hits=1128
Expert 18: EMA=0.01%  Hits=1090
Expert 62: EMA=0.01%  Hits=1093
Expert 79: EMA=0.01%  Hits=853
Expert 109: EMA=0.01%  Hits=953
Expert 15: EMA=0.01%  Hits=946
Expert 96: EMA=0.01%  Hits=968
Expert 28: EMA=0.01%  Hits=996
Expert 120: EMA=0.01%  Hits=863
Expert 68: EMA=0.00%  Hits=842
Expert 63: EMA=0.00%  Hits=936
Expert 112: EMA=0.00%  Hits=702
Expert 114: EMA=0.00%  Hits=769
Expert 75: EMA=0.00%  Hits=863
Expert 48: EMA=0.00%  Hits=834
Expert 16: EMA=0.00%  Hits=875
Expert 80: EMA=0.00%  Hits=753
Expert 19: EMA=0.00%  Hits=744
Expert 14: EMA=0.00%  Hits=724
Expert 30: EMA=0.00%  Hits=734
Expert 55: EMA=0.00%  Hits=650
Expert 91: EMA=0.00%  Hits=797
Expert 94: EMA=0.00%  Hits=841
Expert 123: EMA=0.00%  Hits=690
Expert 67: EMA=0.00%  Hits=721
Expert 50: EMA=0.00%  Hits=777
Expert 3: EMA=0.00%  Hits=680
Expert 87: EMA=0.00%  Hits=578
Expert 107: EMA=0.00%  Hits=662
Expert 34: EMA=0.00%  Hits=779
Expert 83: EMA=0.00%  Hits=711
Expert 4: EMA=0.00%  Hits=628
Expert 7: EMA=0.00%  Hits=648
Expert 29: EMA=0.00%  Hits=663
Expert 84: EMA=0.00%  Hits=522
Expert 99: EMA=0.00%  Hits=618
Expert 104: EMA=0.00%  Hits=520
Expert 85: EMA=0.00%  Hits=654
Expert 116: EMA=0.00%  Hits=613
Expert 46: EMA=0.00%  Hits=548
Expert 60: EMA=0.00%  Hits=583
Expert 78: EMA=0.00%  Hits=561
Expert 5: EMA=0.00%  Hits=465
Expert 49: EMA=0.00%  Hits=600
Expert 23: EMA=0.00%  Hits=511
Expert 32: EMA=0.00%  Hits=440
Expert 0: EMA=0.00%  Hits=402
Expert 21: EMA=0.00%  Hits=406
Expert 38: EMA=0.00%  Hits=435
Expert 53: EMA=0.00%  Hits=467
Expert 8: EMA=0.00%  Hits=595
Expert 92: EMA=0.00%  Hits=492
Expert 66: EMA=0.00%  Hits=491
Expert 10: EMA=0.00%  Hits=335
Expert 13: EMA=0.00%  Hits=373
Expert 86: EMA=0.00%  Hits=345
Expert 105: EMA=0.00%  Hits=382
Expert 52: EMA=0.00%  Hits=340
Expert 113: EMA=0.00%  Hits=332
Expert 40: EMA=0.00%  Hits=370
Expert 89: EMA=0.00%  Hits=355
Expert 39: EMA=0.00%  Hits=317
Expert 103: EMA=0.00%  Hits=336
Expert 25: EMA=0.00%  Hits=313
Expert 124: EMA=0.00%  Hits=414
Expert 37: EMA=0.00%  Hits=254
Expert 20: EMA=0.00%  Hits=283
Expert 26: EMA=0.00%  Hits=269
Expert 74: EMA=0.00%  Hits=293
Expert 115: EMA=0.00%  Hits=256
Expert 98: EMA=0.00%  Hits=244
Expert 61: EMA=0.00%  Hits=230
Expert 126: EMA=0.00%  Hits=244
Expert 95: EMA=0.00%  Hits=187
Expert 41: EMA=0.00%  Hits=257
Expert 11: EMA=0.00%  Hits=237
Expert 57: EMA=0.00%  Hits=252
Expert 47: EMA=0.00%  Hits=247
Expert 108: EMA=0.00%  Hits=183
Expert 22: EMA=0.00%  Hits=211
Expert 31: EMA=0.00%  Hits=204
Expert 59: EMA=0.00%  Hits=176
Expert 106: EMA=0.00%  Hits=189
Expert 24: EMA=0.00%  Hits=180
Expert 117: EMA=0.00%  Hits=141
Expert 42: EMA=0.00%  Hits=121
Expert 97: EMA=0.00%  Hits=143
Expert 71: EMA=0.00%  Hits=109
Expert 33: EMA=0.00%  Hits=119
Expert 73: EMA=0.00%  Hits=105
Expert 65: EMA=0.00%  Hits=135
Expert 44: EMA=0.00%  Hits=116
Expert 69: EMA=0.00%  Hits=99
Expert 101: EMA=0.00%  Hits=79
Expert 56: EMA=0.00%  Hits=94
Expert 54: EMA=0.00%  Hits=75
Expert 27: EMA=0.00%  Hits=86
Expert 36: EMA=0.00%  Hits=64
Expert 1: EMA=0.00%  Hits=70
Expert 72: EMA=0.00%  Hits=64
Expert 17: EMA=0.00%  Hits=55
Expert 93: EMA=0.00%  Hits=46
Expert 12: EMA=0.00%  Hits=48
Expert 51: EMA=0.00%  Hits=22
Expert 43: EMA=0.00%  Hits=39
Expert 64: EMA=0.00%  Hits=27
Expert 35: EMA=0.00%  Hits=18
Expert 111: EMA=0.00%  Hits=14
Expert 118: EMA=0.00%  Hits=10
Expert 100: EMA=0.00%  Hits=5
Expert 81: EMA=0.00%  Hits=3
Expert 102: EMA=0.00%  Hits=3
Expert 110: EMA=0.00%  Hits=1
