Layer 11, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 2.9461

Expert 3: EMA=0.05%  Hits=9185
Expert 4: EMA=0.05%  Hits=9179
Expert 5: EMA=0.05%  Hits=9166
Expert 7: EMA=0.05%  Hits=9162
Expert 1: EMA=0.05%  Hits=9161
Expert 0: EMA=0.05%  Hits=9160
Expert 2: EMA=0.05%  Hits=9160
Expert 6: EMA=0.05%  Hits=9160
Expert 25: EMA=0.00%  Hits=28
Expert 73: EMA=0.00%  Hits=28
Expert 95: EMA=0.00%  Hits=24
Expert 59: EMA=0.00%  Hits=23
Expert 20: EMA=0.00%  Hits=13
Expert 13: EMA=0.00%  Hits=11
Expert 63: EMA=0.00%  Hits=10
Expert 53: EMA=0.00%  Hits=9
Expert 9: EMA=0.00%  Hits=6
Expert 28: EMA=0.00%  Hits=6
Expert 84: EMA=0.00%  Hits=6
Expert 99: EMA=0.00%  Hits=6
Expert 90: EMA=0.00%  Hits=6
Expert 31: EMA=0.00%  Hits=5
Expert 62: EMA=0.00%  Hits=4
Expert 100: EMA=0.00%  Hits=4
Expert 108: EMA=0.00%  Hits=4
Expert 113: EMA=0.00%  Hits=4
Expert 14: EMA=0.00%  Hits=3
Expert 52: EMA=0.00%  Hits=3
Expert 81: EMA=0.00%  Hits=3
Expert 36: EMA=0.00%  Hits=2
Expert 39: EMA=0.00%  Hits=2
Expert 71: EMA=0.00%  Hits=2
Expert 74: EMA=0.00%  Hits=2
Expert 76: EMA=0.00%  Hits=2
Expert 78: EMA=0.00%  Hits=2
Expert 91: EMA=0.00%  Hits=2
Expert 116: EMA=0.00%  Hits=2
Expert 120: EMA=0.00%  Hits=2
Expert 38: EMA=0.00%  Hits=2
Expert 109: EMA=0.00%  Hits=2
Expert 124: EMA=0.00%  Hits=2
Expert 8: EMA=0.00%  Hits=1
Expert 11: EMA=0.00%  Hits=1
Expert 16: EMA=0.00%  Hits=1
Expert 17: EMA=0.00%  Hits=1
Expert 22: EMA=0.00%  Hits=1
Expert 23: EMA=0.00%  Hits=1
Expert 26: EMA=0.00%  Hits=1
Expert 27: EMA=0.00%  Hits=1
Expert 30: EMA=0.00%  Hits=1
Expert 32: EMA=0.00%  Hits=1
Expert 34: EMA=0.00%  Hits=1
Expert 35: EMA=0.00%  Hits=1
Expert 37: EMA=0.00%  Hits=1
Expert 41: EMA=0.00%  Hits=1
Expert 43: EMA=0.00%  Hits=1
Expert 54: EMA=0.00%  Hits=1
Expert 55: EMA=0.00%  Hits=1
Expert 56: EMA=0.00%  Hits=1
Expert 60: EMA=0.00%  Hits=1
Expert 64: EMA=0.00%  Hits=1
Expert 65: EMA=0.00%  Hits=1
Expert 68: EMA=0.00%  Hits=1
Expert 72: EMA=0.00%  Hits=1
Expert 75: EMA=0.00%  Hits=1
Expert 80: EMA=0.00%  Hits=1
Expert 87: EMA=0.00%  Hits=1
Expert 94: EMA=0.00%  Hits=1
Expert 102: EMA=0.00%  Hits=1
Expert 104: EMA=0.00%  Hits=1
Expert 107: EMA=0.00%  Hits=1
Expert 110: EMA=0.00%  Hits=1
Expert 111: EMA=0.00%  Hits=1
Expert 112: EMA=0.00%  Hits=1
Expert 117: EMA=0.00%  Hits=1
Expert 119: EMA=0.00%  Hits=1
Expert 123: EMA=0.00%  Hits=1
Expert 126: EMA=0.00%  Hits=1
