Layer 0, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): 6.3049 bits
Top-k Confidence (avg): 0.125000
Load-Balance CV: 0.8028

Expert 114: EMA=0.02%  Hits=2764
Expert 53: EMA=0.01%  Hits=2118
Expert 16: EMA=0.01%  Hits=1924
Expert 98: EMA=0.01%  Hits=1609
Expert 122: EMA=0.01%  Hits=1711
Expert 91: EMA=0.01%  Hits=1607
Expert 82: EMA=0.01%  Hits=1454
Expert 105: EMA=0.01%  Hits=1411
Expert 84: EMA=0.01%  Hits=1288
Expert 1: EMA=0.01%  Hits=1235
Expert 28: EMA=0.01%  Hits=1574
Expert 86: EMA=0.01%  Hits=1299
Expert 100: EMA=0.01%  Hits=1232
Expert 72: EMA=0.01%  Hits=1129
Expert 75: EMA=0.01%  Hits=1047
Expert 21: EMA=0.01%  Hits=1042
Expert 87: EMA=0.01%  Hits=1097
Expert 77: EMA=0.01%  Hits=974
Expert 64: EMA=0.01%  Hits=1078
Expert 66: EMA=0.01%  Hits=941
Expert 33: EMA=0.01%  Hits=1019
Expert 50: EMA=0.01%  Hits=934
Expert 120: EMA=0.01%  Hits=972
Expert 62: EMA=0.00%  Hits=941
Expert 95: EMA=0.00%  Hits=817
Expert 125: EMA=0.00%  Hits=858
Expert 70: EMA=0.00%  Hits=800
Expert 29: EMA=0.00%  Hits=842
Expert 67: EMA=0.00%  Hits=837
Expert 2: EMA=0.00%  Hits=836
Expert 61: EMA=0.00%  Hits=939
Expert 124: EMA=0.00%  Hits=903
Expert 12: EMA=0.00%  Hits=794
Expert 116: EMA=0.00%  Hits=724
Expert 26: EMA=0.00%  Hits=786
Expert 24: EMA=0.00%  Hits=692
Expert 99: EMA=0.00%  Hits=607
Expert 110: EMA=0.00%  Hits=747
Expert 13: EMA=0.00%  Hits=647
Expert 65: EMA=0.00%  Hits=770
Expert 11: EMA=0.00%  Hits=611
Expert 32: EMA=0.00%  Hits=639
Expert 102: EMA=0.00%  Hits=571
Expert 45: EMA=0.00%  Hits=573
Expert 36: EMA=0.00%  Hits=591
Expert 58: EMA=0.00%  Hits=566
Expert 80: EMA=0.00%  Hits=625
Expert 60: EMA=0.00%  Hits=522
Expert 49: EMA=0.00%  Hits=559
Expert 112: EMA=0.00%  Hits=639
Expert 111: EMA=0.00%  Hits=583
Expert 106: EMA=0.00%  Hits=638
Expert 126: EMA=0.00%  Hits=621
Expert 6: EMA=0.00%  Hits=536
Expert 69: EMA=0.00%  Hits=640
Expert 93: EMA=0.00%  Hits=622
Expert 107: EMA=0.00%  Hits=550
Expert 31: EMA=0.00%  Hits=568
Expert 97: EMA=0.00%  Hits=494
Expert 63: EMA=0.00%  Hits=533
Expert 104: EMA=0.00%  Hits=473
Expert 34: EMA=0.00%  Hits=530
Expert 19: EMA=0.00%  Hits=420
Expert 0: EMA=0.00%  Hits=508
Expert 94: EMA=0.00%  Hits=402
Expert 68: EMA=0.00%  Hits=477
Expert 71: EMA=0.00%  Hits=503
Expert 81: EMA=0.00%  Hits=477
Expert 30: EMA=0.00%  Hits=443
Expert 101: EMA=0.00%  Hits=489
Expert 38: EMA=0.00%  Hits=532
Expert 73: EMA=0.00%  Hits=448
Expert 23: EMA=0.00%  Hits=423
Expert 103: EMA=0.00%  Hits=431
Expert 83: EMA=0.00%  Hits=479
Expert 41: EMA=0.00%  Hits=401
Expert 118: EMA=0.00%  Hits=419
Expert 3: EMA=0.00%  Hits=385
Expert 44: EMA=0.00%  Hits=511
Expert 7: EMA=0.00%  Hits=378
Expert 90: EMA=0.00%  Hits=300
Expert 85: EMA=0.00%  Hits=321
Expert 57: EMA=0.00%  Hits=371
Expert 127: EMA=0.00%  Hits=354
Expert 108: EMA=0.00%  Hits=249
Expert 47: EMA=0.00%  Hits=323
Expert 4: EMA=0.00%  Hits=329
Expert 27: EMA=0.00%  Hits=312
Expert 78: EMA=0.00%  Hits=296
Expert 92: EMA=0.00%  Hits=275
Expert 18: EMA=0.00%  Hits=290
Expert 17: EMA=0.00%  Hits=265
Expert 74: EMA=0.00%  Hits=239
Expert 22: EMA=0.00%  Hits=250
Expert 59: EMA=0.00%  Hits=329
Expert 79: EMA=0.00%  Hits=232
Expert 9: EMA=0.00%  Hits=224
Expert 51: EMA=0.00%  Hits=245
Expert 46: EMA=0.00%  Hits=197
Expert 40: EMA=0.00%  Hits=133
Expert 14: EMA=0.00%  Hits=182
Expert 48: EMA=0.00%  Hits=160
Expert 119: EMA=0.00%  Hits=184
Expert 117: EMA=0.00%  Hits=144
Expert 76: EMA=0.00%  Hits=150
Expert 56: EMA=0.00%  Hits=102
Expert 43: EMA=0.00%  Hits=129
Expert 52: EMA=0.00%  Hits=123
Expert 37: EMA=0.00%  Hits=102
Expert 109: EMA=0.00%  Hits=113
Expert 89: EMA=0.00%  Hits=98
Expert 42: EMA=0.00%  Hits=95
Expert 121: EMA=0.00%  Hits=98
Expert 115: EMA=0.00%  Hits=76
Expert 88: EMA=0.00%  Hits=96
Expert 25: EMA=0.00%  Hits=64
Expert 123: EMA=0.00%  Hits=85
Expert 54: EMA=0.00%  Hits=66
Expert 39: EMA=0.00%  Hits=66
Expert 96: EMA=0.00%  Hits=33
Expert 8: EMA=0.00%  Hits=49
Expert 35: EMA=0.00%  Hits=25
Expert 113: EMA=0.00%  Hits=14
Expert 55: EMA=0.00%  Hits=2
Expert 20: EMA=0.00%  Hits=1
