Layer 17, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 2.9869

Expert 3: EMA=0.05%  Hits=9181
Expert 1: EMA=0.05%  Hits=9168
Expert 5: EMA=0.05%  Hits=9161
Expert 0: EMA=0.05%  Hits=9160
Expert 2: EMA=0.05%  Hits=9160
Expert 4: EMA=0.05%  Hits=9160
Expert 6: EMA=0.05%  Hits=9160
Expert 7: EMA=0.05%  Hits=9160
Expert 30: EMA=0.00%  Hits=28
Expert 61: EMA=0.00%  Hits=28
Expert 89: EMA=0.00%  Hits=21
Expert 12: EMA=0.00%  Hits=20
Expert 95: EMA=0.00%  Hits=17
Expert 51: EMA=0.00%  Hits=16
Expert 49: EMA=0.00%  Hits=10
Expert 118: EMA=0.00%  Hits=10
Expert 121: EMA=0.00%  Hits=9
Expert 124: EMA=0.00%  Hits=6
Expert 26: EMA=0.00%  Hits=5
Expert 47: EMA=0.00%  Hits=5
Expert 31: EMA=0.00%  Hits=4
Expert 33: EMA=0.00%  Hits=4
Expert 34: EMA=0.00%  Hits=4
Expert 39: EMA=0.00%  Hits=4
Expert 81: EMA=0.00%  Hits=4
Expert 70: EMA=0.00%  Hits=4
Expert 125: EMA=0.00%  Hits=4
Expert 8: EMA=0.00%  Hits=3
Expert 14: EMA=0.00%  Hits=3
Expert 46: EMA=0.00%  Hits=3
Expert 54: EMA=0.00%  Hits=3
Expert 56: EMA=0.00%  Hits=3
Expert 59: EMA=0.00%  Hits=3
Expert 60: EMA=0.00%  Hits=3
Expert 94: EMA=0.00%  Hits=3
Expert 110: EMA=0.00%  Hits=3
Expert 115: EMA=0.00%  Hits=3
Expert 120: EMA=0.00%  Hits=3
Expert 24: EMA=0.00%  Hits=2
Expert 25: EMA=0.00%  Hits=2
Expert 29: EMA=0.00%  Hits=2
Expert 63: EMA=0.00%  Hits=2
Expert 65: EMA=0.00%  Hits=2
Expert 75: EMA=0.00%  Hits=2
Expert 85: EMA=0.00%  Hits=2
Expert 86: EMA=0.00%  Hits=2
Expert 93: EMA=0.00%  Hits=2
Expert 101: EMA=0.00%  Hits=2
Expert 111: EMA=0.00%  Hits=2
Expert 123: EMA=0.00%  Hits=2
Expert 10: EMA=0.00%  Hits=1
Expert 11: EMA=0.00%  Hits=1
Expert 13: EMA=0.00%  Hits=1
Expert 15: EMA=0.00%  Hits=1
Expert 18: EMA=0.00%  Hits=1
Expert 22: EMA=0.00%  Hits=1
Expert 32: EMA=0.00%  Hits=1
Expert 42: EMA=0.00%  Hits=1
Expert 48: EMA=0.00%  Hits=1
Expert 50: EMA=0.00%  Hits=1
Expert 52: EMA=0.00%  Hits=1
Expert 55: EMA=0.00%  Hits=1
Expert 62: EMA=0.00%  Hits=1
Expert 64: EMA=0.00%  Hits=1
Expert 74: EMA=0.00%  Hits=1
Expert 78: EMA=0.00%  Hits=1
Expert 80: EMA=0.00%  Hits=1
Expert 84: EMA=0.00%  Hits=1
Expert 90: EMA=0.00%  Hits=1
Expert 96: EMA=0.00%  Hits=1
Expert 98: EMA=0.00%  Hits=1
Expert 100: EMA=0.00%  Hits=1
Expert 108: EMA=0.00%  Hits=1
Expert 109: EMA=0.00%  Hits=1
Expert 114: EMA=0.00%  Hits=1
Expert 116: EMA=0.00%  Hits=1
Expert 117: EMA=0.00%  Hits=1
Expert 119: EMA=0.00%  Hits=1
Expert 126: EMA=0.00%  Hits=1
Expert 127: EMA=0.00%  Hits=1
