Layer 7, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 3.0083

Expert 7: EMA=0.05%  Hits=9191
Expert 5: EMA=0.05%  Hits=9169
Expert 2: EMA=0.05%  Hits=9162
Expert 0: EMA=0.05%  Hits=9162
Expert 1: EMA=0.05%  Hits=9161
Expert 6: EMA=0.05%  Hits=9161
Expert 3: EMA=0.05%  Hits=9160
Expert 4: EMA=0.05%  Hits=9160
Expert 113: EMA=0.00%  Hits=33
Expert 62: EMA=0.00%  Hits=24
Expert 112: EMA=0.00%  Hits=23
Expert 122: EMA=0.00%  Hits=22
Expert 72: EMA=0.00%  Hits=22
Expert 101: EMA=0.00%  Hits=21
Expert 46: EMA=0.00%  Hits=11
Expert 81: EMA=0.00%  Hits=7
Expert 35: EMA=0.00%  Hits=6
Expert 19: EMA=0.00%  Hits=5
Expert 108: EMA=0.00%  Hits=4
Expert 118: EMA=0.00%  Hits=4
Expert 8: EMA=0.00%  Hits=4
Expert 10: EMA=0.00%  Hits=3
Expert 55: EMA=0.00%  Hits=3
Expert 59: EMA=0.00%  Hits=3
Expert 77: EMA=0.00%  Hits=3
Expert 88: EMA=0.00%  Hits=3
Expert 104: EMA=0.00%  Hits=3
Expert 12: EMA=0.00%  Hits=2
Expert 14: EMA=0.00%  Hits=2
Expert 18: EMA=0.00%  Hits=2
Expert 30: EMA=0.00%  Hits=2
Expert 34: EMA=0.00%  Hits=2
Expert 36: EMA=0.00%  Hits=2
Expert 43: EMA=0.00%  Hits=2
Expert 51: EMA=0.00%  Hits=2
Expert 57: EMA=0.00%  Hits=2
Expert 73: EMA=0.00%  Hits=2
Expert 74: EMA=0.00%  Hits=2
Expert 85: EMA=0.00%  Hits=2
Expert 96: EMA=0.00%  Hits=2
Expert 106: EMA=0.00%  Hits=2
Expert 109: EMA=0.00%  Hits=2
Expert 56: EMA=0.00%  Hits=2
Expert 11: EMA=0.00%  Hits=1
Expert 23: EMA=0.00%  Hits=1
Expert 24: EMA=0.00%  Hits=1
Expert 25: EMA=0.00%  Hits=1
Expert 28: EMA=0.00%  Hits=1
Expert 32: EMA=0.00%  Hits=1
Expert 37: EMA=0.00%  Hits=1
Expert 39: EMA=0.00%  Hits=1
Expert 41: EMA=0.00%  Hits=1
Expert 44: EMA=0.00%  Hits=1
Expert 45: EMA=0.00%  Hits=1
Expert 49: EMA=0.00%  Hits=1
Expert 52: EMA=0.00%  Hits=1
Expert 60: EMA=0.00%  Hits=1
Expert 64: EMA=0.00%  Hits=1
Expert 65: EMA=0.00%  Hits=1
Expert 66: EMA=0.00%  Hits=1
Expert 67: EMA=0.00%  Hits=1
Expert 75: EMA=0.00%  Hits=1
Expert 78: EMA=0.00%  Hits=1
Expert 79: EMA=0.00%  Hits=1
Expert 80: EMA=0.00%  Hits=1
Expert 82: EMA=0.00%  Hits=1
Expert 83: EMA=0.00%  Hits=1
Expert 97: EMA=0.00%  Hits=1
Expert 100: EMA=0.00%  Hits=1
Expert 102: EMA=0.00%  Hits=1
Expert 105: EMA=0.00%  Hits=1
Expert 110: EMA=0.00%  Hits=1
Expert 111: EMA=0.00%  Hits=1
Expert 116: EMA=0.00%  Hits=1
Expert 117: EMA=0.00%  Hits=1
Expert 119: EMA=0.00%  Hits=1
Expert 120: EMA=0.00%  Hits=1
Expert 123: EMA=0.00%  Hits=1
Expert 126: EMA=0.00%  Hits=1
Expert 127: EMA=0.00%  Hits=1
Expert 121: EMA=0.00%  Hits=1
