Layer 8, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 3.0287

Expert 6: EMA=0.05%  Hits=9181
Expert 4: EMA=0.05%  Hits=9171
Expert 0: EMA=0.05%  Hits=9163
Expert 5: EMA=0.05%  Hits=9163
Expert 1: EMA=0.05%  Hits=9162
Expert 7: EMA=0.05%  Hits=9162
Expert 2: EMA=0.05%  Hits=9160
Expert 3: EMA=0.05%  Hits=9160
Expert 13: EMA=0.00%  Hits=25
Expert 28: EMA=0.00%  Hits=23
Expert 96: EMA=0.00%  Hits=23
Expert 98: EMA=0.00%  Hits=23
Expert 58: EMA=0.00%  Hits=21
Expert 56: EMA=0.00%  Hits=19
Expert 89: EMA=0.00%  Hits=7
Expert 127: EMA=0.00%  Hits=7
Expert 94: EMA=0.00%  Hits=6
Expert 113: EMA=0.00%  Hits=6
Expert 16: EMA=0.00%  Hits=5
Expert 42: EMA=0.00%  Hits=5
Expert 57: EMA=0.00%  Hits=4
Expert 69: EMA=0.00%  Hits=4
Expert 83: EMA=0.00%  Hits=4
Expert 111: EMA=0.00%  Hits=4
Expert 124: EMA=0.00%  Hits=4
Expert 9: EMA=0.00%  Hits=3
Expert 11: EMA=0.00%  Hits=3
Expert 23: EMA=0.00%  Hits=3
Expert 45: EMA=0.00%  Hits=3
Expert 72: EMA=0.00%  Hits=3
Expert 118: EMA=0.00%  Hits=3
Expert 15: EMA=0.00%  Hits=2
Expert 18: EMA=0.00%  Hits=2
Expert 29: EMA=0.00%  Hits=2
Expert 35: EMA=0.00%  Hits=2
Expert 43: EMA=0.00%  Hits=2
Expert 50: EMA=0.00%  Hits=2
Expert 52: EMA=0.00%  Hits=2
Expert 54: EMA=0.00%  Hits=2
Expert 65: EMA=0.00%  Hits=2
Expert 74: EMA=0.00%  Hits=2
Expert 78: EMA=0.00%  Hits=2
Expert 82: EMA=0.00%  Hits=2
Expert 87: EMA=0.00%  Hits=2
Expert 92: EMA=0.00%  Hits=2
Expert 102: EMA=0.00%  Hits=2
Expert 104: EMA=0.00%  Hits=2
Expert 108: EMA=0.00%  Hits=2
Expert 123: EMA=0.00%  Hits=2
Expert 125: EMA=0.00%  Hits=2
Expert 12: EMA=0.00%  Hits=1
Expert 24: EMA=0.00%  Hits=1
Expert 26: EMA=0.00%  Hits=1
Expert 27: EMA=0.00%  Hits=1
Expert 30: EMA=0.00%  Hits=1
Expert 33: EMA=0.00%  Hits=1
Expert 34: EMA=0.00%  Hits=1
Expert 36: EMA=0.00%  Hits=1
Expert 40: EMA=0.00%  Hits=1
Expert 41: EMA=0.00%  Hits=1
Expert 46: EMA=0.00%  Hits=1
Expert 48: EMA=0.00%  Hits=1
Expert 53: EMA=0.00%  Hits=1
Expert 60: EMA=0.00%  Hits=1
Expert 70: EMA=0.00%  Hits=1
Expert 76: EMA=0.00%  Hits=1
Expert 77: EMA=0.00%  Hits=1
Expert 81: EMA=0.00%  Hits=1
Expert 85: EMA=0.00%  Hits=1
Expert 99: EMA=0.00%  Hits=1
Expert 109: EMA=0.00%  Hits=1
Expert 110: EMA=0.00%  Hits=1
Expert 114: EMA=0.00%  Hits=1
Expert 115: EMA=0.00%  Hits=1
Expert 116: EMA=0.00%  Hits=1
Expert 117: EMA=0.00%  Hits=1
Expert 119: EMA=0.00%  Hits=1
Expert 120: EMA=0.00%  Hits=1
Expert 121: EMA=0.00%  Hits=1
Expert 122: EMA=0.00%  Hits=1
Expert 126: EMA=0.00%  Hits=1
Expert 10: EMA=0.00%  Hits=1
