Layer 3, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): 6.1058 bits
Top-k Confidence (avg): 0.125000
Load-Balance CV: 1.0504

Expert 84: EMA=0.02%  Hits=3221
Expert 124: EMA=0.02%  Hits=2751
Expert 115: EMA=0.01%  Hits=2393
Expert 16: EMA=0.01%  Hits=2459
Expert 34: EMA=0.01%  Hits=2256
Expert 82: EMA=0.01%  Hits=2196
Expert 112: EMA=0.01%  Hits=2177
Expert 107: EMA=0.01%  Hits=2002
Expert 120: EMA=0.01%  Hits=1639
Expert 4: EMA=0.01%  Hits=1347
Expert 31: EMA=0.01%  Hits=1405
Expert 61: EMA=0.01%  Hits=1561
Expert 73: EMA=0.01%  Hits=1400
Expert 47: EMA=0.01%  Hits=1192
Expert 6: EMA=0.01%  Hits=1179
Expert 89: EMA=0.01%  Hits=1169
Expert 76: EMA=0.01%  Hits=1033
Expert 101: EMA=0.01%  Hits=975
Expert 24: EMA=0.01%  Hits=1088
Expert 10: EMA=0.01%  Hits=1074
Expert 70: EMA=0.01%  Hits=1058
Expert 79: EMA=0.01%  Hits=1091
Expert 123: EMA=0.00%  Hits=981
Expert 20: EMA=0.00%  Hits=858
Expert 88: EMA=0.00%  Hits=743
Expert 117: EMA=0.00%  Hits=732
Expert 127: EMA=0.00%  Hits=815
Expert 14: EMA=0.00%  Hits=671
Expert 17: EMA=0.00%  Hits=701
Expert 105: EMA=0.00%  Hits=820
Expert 78: EMA=0.00%  Hits=837
Expert 50: EMA=0.00%  Hits=735
Expert 7: EMA=0.00%  Hits=780
Expert 59: EMA=0.00%  Hits=767
Expert 38: EMA=0.00%  Hits=682
Expert 25: EMA=0.00%  Hits=726
Expert 77: EMA=0.00%  Hits=699
Expert 106: EMA=0.00%  Hits=733
Expert 62: EMA=0.00%  Hits=665
Expert 60: EMA=0.00%  Hits=590
Expert 104: EMA=0.00%  Hits=686
Expert 93: EMA=0.00%  Hits=674
Expert 56: EMA=0.00%  Hits=543
Expert 80: EMA=0.00%  Hits=669
Expert 29: EMA=0.00%  Hits=750
Expert 69: EMA=0.00%  Hits=526
Expert 74: EMA=0.00%  Hits=623
Expert 99: EMA=0.00%  Hits=526
Expert 2: EMA=0.00%  Hits=601
Expert 67: EMA=0.00%  Hits=505
Expert 11: EMA=0.00%  Hits=632
Expert 90: EMA=0.00%  Hits=613
Expert 114: EMA=0.00%  Hits=476
Expert 86: EMA=0.00%  Hits=496
Expert 26: EMA=0.00%  Hits=565
Expert 92: EMA=0.00%  Hits=535
Expert 41: EMA=0.00%  Hits=448
Expert 9: EMA=0.00%  Hits=504
Expert 121: EMA=0.00%  Hits=469
Expert 57: EMA=0.00%  Hits=410
Expert 64: EMA=0.00%  Hits=548
Expert 13: EMA=0.00%  Hits=459
Expert 72: EMA=0.00%  Hits=368
Expert 37: EMA=0.00%  Hits=501
Expert 1: EMA=0.00%  Hits=459
Expert 94: EMA=0.00%  Hits=437
Expert 103: EMA=0.00%  Hits=390
Expert 66: EMA=0.00%  Hits=415
Expert 55: EMA=0.00%  Hits=350
Expert 35: EMA=0.00%  Hits=352
Expert 3: EMA=0.00%  Hits=383
Expert 12: EMA=0.00%  Hits=347
Expert 33: EMA=0.00%  Hits=287
Expert 75: EMA=0.00%  Hits=305
Expert 53: EMA=0.00%  Hits=278
Expert 22: EMA=0.00%  Hits=323
Expert 40: EMA=0.00%  Hits=285
Expert 87: EMA=0.00%  Hits=230
Expert 27: EMA=0.00%  Hits=177
Expert 36: EMA=0.00%  Hits=219
Expert 97: EMA=0.00%  Hits=243
Expert 91: EMA=0.00%  Hits=243
Expert 39: EMA=0.00%  Hits=223
Expert 21: EMA=0.00%  Hits=250
Expert 0: EMA=0.00%  Hits=229
Expert 54: EMA=0.00%  Hits=271
Expert 46: EMA=0.00%  Hits=196
Expert 95: EMA=0.00%  Hits=120
Expert 5: EMA=0.00%  Hits=215
Expert 109: EMA=0.00%  Hits=165
Expert 102: EMA=0.00%  Hits=157
Expert 81: EMA=0.00%  Hits=201
Expert 19: EMA=0.00%  Hits=174
Expert 32: EMA=0.00%  Hits=142
Expert 113: EMA=0.00%  Hits=169
Expert 122: EMA=0.00%  Hits=154
Expert 71: EMA=0.00%  Hits=162
Expert 45: EMA=0.00%  Hits=169
Expert 98: EMA=0.00%  Hits=124
Expert 30: EMA=0.00%  Hits=144
Expert 108: EMA=0.00%  Hits=126
Expert 23: EMA=0.00%  Hits=122
Expert 48: EMA=0.00%  Hits=109
Expert 100: EMA=0.00%  Hits=86
Expert 43: EMA=0.00%  Hits=79
Expert 119: EMA=0.00%  Hits=77
Expert 68: EMA=0.00%  Hits=78
Expert 125: EMA=0.00%  Hits=58
Expert 18: EMA=0.00%  Hits=56
Expert 51: EMA=0.00%  Hits=59
Expert 65: EMA=0.00%  Hits=54
Expert 111: EMA=0.00%  Hits=47
Expert 28: EMA=0.00%  Hits=47
Expert 44: EMA=0.00%  Hits=46
Expert 42: EMA=0.00%  Hits=50
Expert 116: EMA=0.00%  Hits=37
Expert 110: EMA=0.00%  Hits=28
Expert 118: EMA=0.00%  Hits=29
Expert 126: EMA=0.00%  Hits=41
Expert 49: EMA=0.00%  Hits=38
Expert 85: EMA=0.00%  Hits=7
Expert 63: EMA=0.00%  Hits=5
Expert 15: EMA=0.00%  Hits=1
Expert 52: EMA=0.00%  Hits=2
Expert 8: EMA=0.00%  Hits=1
Expert 58: EMA=0.00%  Hits=1
